id,symbol,name,market_cap_rank,current_price,market_cap,fully_diluted_valuation,total_volume,high_24h,low_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,price_change_24h,price_change_percentage_24h,price_change_percentage_1h,price_change_percentage_7d,price_change_percentage_30d,price_change_percentage_1y,market_cap_change_24h,market_cap_change_percentage_24h,last_updated,image,supply_utilization
bitcoin,BTC,Bitcoin,1,92551.0,1849586398531,1849586398531.0,81656907188.0,93929.0,90837.0,19957184.0,19957184.0,21000000.0,126080.0,-26.16251,2025-10-06T18:57:42.558Z,67.81,137188.88486,2013-07-06T00:00:00.000Z,611.5,0.66511,-0.4731528553930124,5.391199118165342,-13.158877373393988,-2.7763769918068975,14115935216.0,0.76906,2025-12-03T18:57:01.835Z,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,95.03420952380952
ethereum,ETH,Ethereum,2,3114.18,377137085161,377137085161.0,25348972896.0,3139.77,2976.94,120695439.0320186,120695439.0320186,,4946.05,-36.63835,2025-08-24T19:21:03.333Z,0.432979,723699.28997,2015-10-20T00:00:00.000Z,99.26,3.29234,-0.5301663704903613,5.6878714011031,-13.81557109921825,-12.423513888268161,12905449636.0,3.5432,2025-12-03T18:57:03.636Z,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,0.0
tether,USDT,Tether,3,1.0,184744825283,190213441302.0,101762446149.0,1.0,1.0,184688082362.9069,190155018739.8062,,1.32,-24.39618,2018-07-24T00:00:00.000Z,0.572521,74.72034,2015-03-02T00:00:00.000Z,9.9e-06,0.00099,-0.004542048743438375,0.04357064817194341,0.030965908239283014,0.013443597562997942,106627204.0,0.05775,2025-12-03T18:57:02.158Z,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.0
ripple,XRP,XRP,4,2.17,131451182003,217849977456.0,4038903013.0,2.21,2.14,60331635327.0,99985752852.0,100000000000.0,3.65,-40.14613,2025-07-18T03:40:53.808Z,0.00268621,81148.33581,2014-05-22T00:00:00.000Z,0.00035576,0.01637,-0.49711511742013637,-0.7066364113124428,-8.403034038010466,-13.724116629633592,366667283.0,0.27972,2025-12-03T18:57:00.544Z,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,60.331635327
binancecoin,BNB,BNB,5,902.22,124271801383,124271801383.0,2001781827.0,908.27,873.6,137736129.34,137736129.34,200000000.0,1369.99,-34.0073,2025-10-13T08:41:24.131Z,0.0398177,2270484.41756,2017-10-19T00:00:00.000Z,21.22,2.40889,-0.5499285794105542,3.466731470540225,-9.351678068936732,39.56034930559374,2885938783.0,2.37749,2025-12-03T18:57:01.669Z,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,68.86806467000001
solana,SOL,Solana,6,141.2,79225555072,87090951589.0,6196102271.0,143.83,138.0,559773912.5458547,615347442.8026563,,293.31,-51.73765,2025-01-19T11:15:27.957Z,0.500801,28166.55513,2020-05-11T19:35:23.449Z,1.23,0.87813,-0.5293137065297095,3.1515257040041877,-16.16045651667937,-36.711162717875936,863143512.0,1.10148,2025-12-03T18:57:01.047Z,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,0.0
usd-coin,USDC,USDC,7,0.99987,77783988427,77793782336.0,11478648490.0,0.999955,0.999605,77799358066.49365,77809153909.74037,,1.17,-14.73567,2019-05-08T00:40:28.300Z,0.877647,13.92969,2023-03-11T08:02:13.981Z,7.813e-05,0.00781,0.00671134180882159,0.016572761220703062,0.006321418507039653,0.02995017083569057,271248116.0,0.34994,2025-12-03T18:57:02.731Z,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.0
staked-ether,STETH,Lido Staked Ether,8,3118.8,27054607998,27054650429.0,24654685.0,3138.73,2975.54,8649543.232378602,8649556.797737343,,4932.89,-36.45558,2025-08-24T19:21:31.902Z,482.9,549.12062,2020-12-22T04:08:21.854Z,103.85,3.44459,-0.279691245261206,5.895807938553241,-13.648064381086279,-12.25543302733023,960044751.0,3.6791,2025-12-03T18:57:00.881Z,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,0.0
tron,TRX,TRON,9,0.278888,26411488514,26411486537.0,621854623.0,0.282908,0.278628,94678628946.3814,94678621860.8286,,0.431288,-35.27626,2024-12-04T00:10:40.323Z,0.00180434,15370.79198,2017-11-12T00:00:00.000Z,-0.003946253553360146,-1.39525,-0.02241891062684166,1.6146352467386327,-2.821686983687634,1.8215669621892936,-384077944.68943405,-1.43336,2025-12-03T18:57:02.213Z,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.0
dogecoin,DOGE,Dogecoin,10,0.150737,22971503109,24410204900.0,1561993418.0,0.151837,0.145058,152029526383.7052,161551112798.5791,,0.731578,-79.31814,2021-05-08T05:08:23.458Z,8.69e-05,174005.21831,2015-05-06T00:00:00.000Z,0.00450416,3.08013,-0.4631040189240313,-0.7878645803615781,-10.636921604073121,-62.72268692406898,733171110.0,3.29688,2025-12-03T18:57:06.220Z,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.0
